"album_id","album_name","total_tracks","release_date","album_type","artist_names","artist_ids","cover"
"4GsYSSLgIYkgXMSGkvcItA","Lowkey","25","2023-08-22","album","Sami Low","4mST4sikQtpiH5dIkRxaCT","https://i.scdn.co/image/ab67616d000048513a03dee90f1473bbe6390a69"
"4YTispSwqLffd9upcpdVtH","Boghz Yani (Deep House Version)","1","2024-06-06","single","Amir Nazari","0Wdymr3gKyVWc0wZgMA2Ub","https://i.scdn.co/image/ab67616d000048519c4eaf5e1d23857bbfd087e9"
"2t17GfSNunwJTPYygpDED1","Har Ye Rooz (Deep House Version)","1","2024-06-06","single","Amir Nazari","0Wdymr3gKyVWc0wZgMA2Ub","https://i.scdn.co/image/ab67616d0000485148af9511548aa79124025de7"
"6Ybv8Njll6XJcS03rJMxGd","Ghasedak (Melodic Mix)","1","2024-06-11","single","Amir Nazari","0Wdymr3gKyVWc0wZgMA2Ub","https://i.scdn.co/image/ab67616d00004851f07d2c409b9a9c181fb4bc7b"
"5X3K4YAkV2btjoir2Sm585","InYekiam Vase (Freedom Mix)","1","2024-06-12","single","Amir Nazari","0Wdymr3gKyVWc0wZgMA2Ub","https://i.scdn.co/image/ab67616d000048514021b510855c057581154286"
"0amcw7wLq6y3062sWTop2W","Pizza Are (Drill Version)","1","2024-06-08","single","Amir Nazari","0Wdymr3gKyVWc0wZgMA2Ub","https://i.scdn.co/image/ab67616d00004851ec6815cd2366800801aa5846"
"36JdvmyDtl9KbvlQ7AsPiB","Pore Az Lashi (Deep House Version)","1","2024-06-06","single","Amir Nazari","0Wdymr3gKyVWc0wZgMA2Ub","https://i.scdn.co/image/ab67616d00004851aaa19661954a4ef71aab5efc"
"7u8EUqUjM3jzNYr4R5qluy","Eshtebahe Khoob (Deep House Mix)","1","2024-06-08","single","Amir Nazari","0Wdymr3gKyVWc0wZgMA2Ub","https://i.scdn.co/image/ab67616d00004851390176c0d378c16fc397afdf"
"1hRODJMAt3Qjm5FladfWAR","Rafttanet (Remix)","1","2021-12-10","single","Amir Tataloo,Arash Mohseni","5CEosSs2y4M9THNGI6mej8,4QXCubMDQSuXdVNCFhaU9Z","https://i.scdn.co/image/ab67616d00004851929632f250dedc11d617946c"
"4XNbvx8RMH3WQHL3xuRXdT","YL (Freestyle)","1","2024-01-09","single","Hoodadk4,Arian Dousti","1wJm5nKEUlhdV48hMMwzAm,6cf7rQ4PO4CyHntcKypPSC","https://i.scdn.co/image/ab67616d00004851fa271b61a863b57ff7867b49"
"1U03SIHofxYuq5qXsHg5RD","Migiram Root","1","2021-04-03","single","Erfan,Gdaal","1yPzb9mqugowOfUs2vIOgL,7mGDv3CYlPghTIWzE6tOpv","https://i.scdn.co/image/ab67616d00004851892bf1baf1b417991010be4d"
"7aqeRF2E9NaNTIOp6NkLPZ","Bazi","1","2021-11-22","single","Saam Armin","1XUlCQr8aNr0XGZqzoKvFw","https://i.scdn.co/image/ab67616d0000485196f99cb3e30735f2df8476fa"
"5T9HZ6mAvxam3iNtYSIyGq","Taste It","1","2021-10-31","single","Brodie Nero","6J9JSIaE1oRDmIW86So9ku","https://i.scdn.co/image/ab67616d00004851dcdc21b8f843f323ec5fa203"
