"track_id","track_name","release_date","duration_ms","popularity","cover_album","artists_names","artists_ids"
"0gwjVFRgcQtNtqWeaYgr0V","Cheke","2020-05-21","206654","1","https://i.scdn.co/image/ab67616d0000b27316edb024ee346800d24933b3","Shemrooni","4zuyCgnXCf6stVpIZAVhPn"
"2LshWKKqDRztdYw8GoGk7j","Paradox","2020-09-18","257215","0","https://i.scdn.co/image/ab67616d0000b273e7a1f7a73e9401b1e66242ec","Hamed Slash","4b2hA3kHcQPL9xi44QubYP"
"3w0psO27kqmuu97GviDKH5","Goal","2018-05-14","234384","2","https://i.scdn.co/image/ab67616d0000b273770eb5203ddf8fe5ff63ef72","Amir Tataloo","5CEosSs2y4M9THNGI6mej8"
"2k934yYJMwiHQAS6cdr33n","Hezar","2022-03-02","186597","35","https://i.scdn.co/image/ab67616d0000b273b1ffc5b6d232e292942c72df","Mehrad Hidden,Moody Moussavi,Saman Wilson","0jCVTRvQkILbJvpviTpvd1,7r904p9PwBfRkGT3eQrZhj,2CwNkCPsqVs4jRRpFJxR3H"
"6UqxJH8vU9USkoGkFUtACg","Noor","2020-01-09","200366","2","https://i.scdn.co/image/ab67616d0000b27314f63ca38d4ae0f564d5699b","HEEN","3dt8LORgsqjLP8hAYsFKdY"
"0qrlQW5IkN9lNxcBTcDRNV","Telephone","2024-02-27","153428","37","https://i.scdn.co/image/ab67616d0000b2738ad500d6a65eb09c0b2d8f83","poobon,Koorosh","4hdsAoRTkGU11DynAg7iTw,1UjD9VWeqDDlDSvNlnFTdl"
"66hmpRKfLTSXJ6ziKyeCKl","Addicted?","2021-05-07","186122","27","https://i.scdn.co/image/ab67616d0000b2739f11e49f6481a4eb1018dc2a","Ashkan Kagan,Hiphopologist","2D66FABcMx1DcjVtrVAeHL,45YMrIBH74j8e2wNlRSSdK"
"6kBPFlgPd7oJgLqN95fwj0","Too Kooche Ma Ham Aroosi Mishe - Instrumental","2019-05-10","226730","1","https://i.scdn.co/image/ab67616d0000b2731d4bdd4400b12fcae3cbfb4d","Amir Tataloo","5CEosSs2y4M9THNGI6mej8"
"4s4kMBOwB8YPodZ6xDVF52","Chill","2023-06-18","171162","19","https://i.scdn.co/image/ab67616d0000b2739f14264ab8b57a432b1fb7fa","021G,RadPro","6U5mXNse56YUIYMdoPexGj,5koq1lIrFAXuS6XTlgUc0s"
"5iQI1PbZDDFpFgeBm1zEsY","In Vaseye To","2021-04-10","151500","0","https://i.scdn.co/image/ab67616d0000b273a1d99db0743b3175f11a9e5b","Saye","70VY9ezhAJYmrnD2nBLAK2"
