"track_id","track_name","release_date"
"2jp2UJxz1Amy4rVpaCOFL0","Begoo Be Darak","2016-12-31"
"6IHWw5lbArp5qe66xZQRW4","Bezan Ziresh","2016-12-31"
"5GFJHNbP5m5NdnMhAN0BTQ","Adamizad","2016-12-31"
"1o97w6qEsGJ4Bv8a0JBcRu","Jome Shab","2016-12-31"
"1GPI1CNjHu3LpFP5asPh5i","Kambood","2016-12-31"
"5uPdjUQVn7mrTbPawxOzDt","Sard Shodim","2016-12-31"
"43jz4JwEevpqivaemPOzHv","Hesse Khoob","2011-08-03"
"5lInlX6Gr00o7O3uZ5SW36","Million","2024-07-25"
"64RmXvWD1RMznWPeffZzPD","Manam Ba Nadarim","2017-09-14"
"76iYt7EuOMeaE7oexIviJu","Kojae","2021-01-07"
"4lglcshFd5LbGJH3VifMSE","Atseh","2023-04-10"
"2n5TA1DX2pim4rEhZudhwc","Salam","2019"
"6KNsxTY2xQP9DBW5GMiltX","Khoda Shokr","2019"
"7irQGLfDVtsH569gtvZJge","Rasmemoone","2019"
"5BIFuIXkyGnW6HYMwSx66u","Age Payeyi","2019"
"6vOmRsGvFDnmVU5ceaQmtm","Jaye Hamegi Khali","2019"
"0CR1qp6zKEWWrDco346nmF","Balatar","2019"
"00QdWt5wH5BLolKBJtvRHQ","Kafie Bekhaam","2019"
"07aSVcB2tM0SDXMInusS2m","Mano Doost Dari","2019"
"3NBstAsMtRzcKQfQ8bxGae","Faghat Vase Man","2019"
"2ZI9LbGFJ7hp0LCCULhyUA","Berim Berim","2019"
"4Nhtm6p74oAhzi8Qk5Yfki","Professional","2019"
"58ty23IEfJe8VCzuikF2Eq","Javooni","2019"
"6ZHf3TT268c7IIZCigPML8","Behesht","2024-07-03"
"2a5xyEDHFNXlSEWuu6xVlJ","Dooset Nadaram","2015-08-05"
"7hVyV4bsKttmvPCPSRRTy1","Goolle","2024-01-17"
"4gIKOmEdLTTgegk0cbWsiH","Emirate","2024-06-14"
"7kNtv7PZbJmRKOUdUALKDE","Khane Be Doosh","2023-12-20"
"02TJYljg5jDhn2onOdEyPf","Chambre","2023-12-20"
"1kKGY9mie21V5kowlMPCwR","Rencontre","2023-12-20"
"1foAOCWsBl3TiZiJs25gGt","Pompiers","2023-12-20"
"38CFkNCfqy5eBXaAujXcs3","Fièvre","2023-12-20"
"3gY2LulocJBqhEXKCQHamC","Virgule","2023-12-20"
"6ATh8u7AqmdMv29QnLoV2m","Mosafer","2023-12-20"
"5g1tySeAvREwBHKRu4zN4R","Quais","2023-12-20"
"6P9wsGYVOY7G6MO8fyXwvF","Ya Yemma","2023-12-20"
"7fj9eULV7VOpS8RoAqO93p","Each One 1","2023-12-20"
"2OXI1cfOIefP553OSeevNt","Canal","2023-12-20"
"4k8HCGPgKWcrhTLmJEm8cM","Each One 2","2023-12-20"
"5PFhy3THbudGxRMHTwyAWu","Sciences Po","2023-12-20"
"1UZJ8JyiyojS0qhqb24grf","Départ","2023-12-20"
"68uIFnm0IBtUy86YDRyWcL","Le Havre","2023-12-20"
"0miasgqOSHDclKtshS9Ut9","Home (Khana) [feat. Mohammad Ewaz]","2023-12-20"
"2RdoYCeux2UK9ahVSLE01q","Busted 2","2023-02-21"
"5yX1vG5wBNkGVIPL71bRAU","Masti","2023-02-21"
"25XcWD1RtaRchDIp9BM7OQ","24 Maah","2023-02-21"
"53OoThfIkO14LGORb3MzhP","Snow","2023-02-21"
"56clLfgnsVNnD3CRlvZb0K","Aty","2023-02-21"
"4HDJoC8lpf88Qw9cvxrXwj","Miresam","2017"
"0G9YAZYeYxEKrODXHtwjJ8","Shol Tekoon","2020-08-17"
"0YaCjp7Uzo2F8q6IogaQMo","Paband","2023-05-17"
"3K6ZoepDJG4qKo7dEerRZu","On Top","2023-06-20"
"1c2cH24ODB1MyQkEtRLoIq","Khatere","2024-07-24"
"2NffE5LNzQoBhrKYElPcyD","Nashod Ke Beshe","2024-07-24"
"0Wlr4fGGZOYXKDuxP9xzEI","Salute","2024-07-24"
"3hrXdBuLxgEMkIL9VvZW92","Roo Be Room","2024-07-24"
"2nzgpV2UGmmjnOdZDkW40F","Confidence","2024-07-24"
"09Wvv9GoisbKZUHfoM3MzK","Respect","2024-07-24"
"78o4OdfURcOXRQ94CZVreM","Easy","2024-07-24"
"4idraPmxbQcf8Ggaaz5QHf","Highway","2024-07-24"
"1c8bMQHBGcxGe0QD2jYGaS","Jiiiiigh","2024-07-24"
"75HkHpqyTNQiSmuLWyL56X","Peyk Peyk","2024-07-24"
"6OSo8LfS4Xg6nhkUQDnSZ5","Harbaresho","2024-07-24"
"3GbvK3MFSHosfHddCLIRan","Loco","2024-07-24"
"4TBtu8FA7ePjD0Ffi78epD","Mese Man Nashod","2024-07-24"
"24h6VIiLbaHaarjl7R3Vzm","Skiiiiit","2024-07-24"
"2HZNBh1xjqEkiek0eegtqV","Telo Telo","2024-07-24"
"18XVXZ4Yk27u10Zwl9IUUz","Male Mane","2024-07-24"
"6HYNSLtvCVTcqgAYNePox3","Pesaret","2023-04-20"
"4F8bz2dGllbjWxON0NxDek","Yeki Dar Mizane","2023-04-20"
"6afvLzTyksfOD0QGDsX7Ta","Pool > Ehsasat","2023-04-20"
"0E7P83Q4Uv9znez8cb6IC2","Wings","2023-04-20"
"2X7rsmOVQpt22B9FrQj3Xp","Antisocial","2023-04-20"
"1y9D1NRq8T8mbpAFwt9cik","Istanbul Voice","2023-04-20"
"1CHlTYImF7YTp4T5k3tgrR","Moon","2023-04-20"
"4vr2MFfNuLsHQ7UFusjpdf","No Beef","2023-04-20"
"001ADnoxcSjHJbN7tI8SzD","Allstar","2023-04-20"
"5hCcLvGavoiCVz3BBAqTCs","Hoes","2023-04-20"
"2k7MDv2FTzE9Vblmn5DY1A","Ghetto","2023-04-20"
"3MRRd4m7At0b9fxGJnGBPz","Benzino","2023-04-20"
"0oiO8n42ZR3eIeyTg63Bm8","Blueface","2023-11-07"
"3NPF03DSrSwKH3uVqq8jBZ","Illuminati","2019-09-19"
"6hCdQrF5wwkFRoYmBcMgMA","Seyl","2020-01-13"
"2qRs81ewNDO9e7kpdkbZhN","Dart","2023-08-04"
"3vk54VS5Sud3yIcIEurNHp","Underrated","2023-08-04"
"4ZkFgZshrPJbaqPyTUQP3S","Robot","2023-08-04"
"757DZ1SYkAZVhYooedgaYB","Tether","2023-08-04"
"6R5O0Zc1LIw93heCsticqX","Telesm","2023-08-04"
"4YH8vF2n7NnkNcmg3dGjUO","Labello","2023-08-04"
"63kvhDUsqwgHvfN8ulHJRD","Black Out","2023-08-04"
"6JUQu4htaw6mOyDUQaIfHT","Ghade Khodam","2023-08-04"
"0NNtYc7NGB0jZjnwptf9RS","Bad J","2023-08-04"
"5HErHh5GrbLlG7f6Dr2WbI","Brazzers House","2023-08-04"
"7eEqTHXMHgKdqHY9TrRKlS","Mikesham","2023-08-04"
"7JWTAEYM3OSWh5rZZPwVFs","Baare Akhar","2023-08-04"
"1WLbGqVMYxfYHnOGyQioV1","Yadame","2023-08-04"
"68xECW07LAfCORsQh2BT9T","GleezVleez","2023-08-04"
"1evJp93fQzi4qT7C5ALJBx","Block","2023-08-04"
"6QJfk8T84sdsapx6Er8wJf","Golabi","2023-08-04"
"6yrrQki97oypXi1SbGPSEf","Dokhtara","2023-08-04"
"3cTt7s6FhpNa2VomiY1G1k","Rubi Rose","2023-08-04"
"3ywqyQuS0O2NgVSq62UgUq","POV (Skit)","2023-08-04"
"2oUjEFIFfSueMLWkfu9naG","Age Unvar Budam","2023-08-04"
"3OPQcxjlGnVlq1wubPDaKx","In","2018-01-10"
"3SzGwHHUIoKVqRByR9tu43","Datur","2024-07-26"
"3vzJCYN2IynripqDqYU15Y","Ting","2024-03-18"
"3sB9WAw41lT0QXCzMM4FaW","Timar - Instrumental","2019-05-02"
"3Tlx51zMx9tLRwchfmSwA8","Beriz","2023-07-06"
"67I8JGfDyixoDQNtOo6XKo","Chiki","2024-05-29"
"1qOn5pxGbN3pU3Aba3DX1p","Sleeping in","2018-06-05"
"29wV9NvW3OuImQeU0ZQRWn","Swarm","2018-06-05"
"0RISLY5KO1qcMxKiFUXvg9","Think","2018-06-05"
"7Fq1ImiEfWWBYHgxKzxvtS","Sleep","2018-06-05"
"5efCttwORWYAcVO2yIiViS","Aboutu","2018-06-05"
"2YJZihKWNwB5aHP3GCr1Ok","Player 1, Start","2018-06-05"
"0RluOjnj2C2psT2sDlwplh","Late Night Shift","2018-06-05"
"0aqEoIQ0xrhEAnjlbnqpXq","Balatar","2023-05-24"
"1XbRjoxb6sLZd1kV6YMJfD","Backwood","2023-11-28"
"2HGJKqKOaaeGAn3n1GcKvx","Shafa","2023-01-31"
"05jeGJ5F3xm7PF1ZQZROEa","Soorati","2020-12-01"
"7MayY1yz6a5FDx757hMn0x","Be Mula","2022-03-11"
"2vdrC6vGazcHreTVfIJGly","To Bezar Boro Mano","2021-03-20"
"628Dy3hBHUFGPBBx49A9IX","Man Yadet Naram","2021-03-20"
"2RWK9hVdlTAGaA3pQeHhZU","Heyf Didid Raft !","2021-03-20"
"7a8rzB6uv0sIhykah27OWp","To Ke Bekhay Mitooni","2021-03-20"
"6iOCKLCIGOc9Ccy9QElvkr","Mano Bebakhsh","2021-03-20"
"3d0CmAvuNILJB5HiChrP1W","Dobare Lash - New Version","2021-03-20"
"29sVQlEcIB0fzyZ8HCXOBL","Didi !?","2021-03-20"
"1KsGXw8tJGfwyVpu3NyROT","Fargh Daram Az Dam Ba Ina 2","2021-03-20"
"575ws8C0teTsPpBRr58HUd","Gedaei","2021-03-20"
"0BidHxzbWGU1OGknew0THI","Nagoo Na","2021-03-20"
"22FgaeC7jxM4FKkd1c3pdV","Nesfe Shab","2021-03-20"
"1fl9sPlK2QIBhuQMb0azKm","Dorost !","2021-03-20"
"2bltoykP2tNvs1VbYmVYlT","Anjām Vazife","2011-03-08"
"5zeQcNx31EjfTnbF2t4oZN","021LDN","2011-03-08"
"6DCvVeWZdVpYVU8PoDAXJE","Mā Az Ounāshim","2011-03-08"
"4IlmU4xOYBHxjJCsMJJQtu","Vāstā Lāshi","2011-03-08"
"6qZzztiZFkPenPWN1Es4A7","Shak (feat. Fadaei)","2011-03-08"
"4GPC23SnwNTe75jh2RYBKI","Vay Ke Che Halie","2008-08-06"
"5bpsfzZA0vwvT5rpq5VWyz","Peak","2023-05-29"
"4in1ogCvMzJrwUV3wVQF5q","Alo Manam","2012-02-06"
"5ei7kZwuYEzaAAKivNhc6X","Man Bahat Ghahram - Arash Mohseni Remix","2021-08-13"
"48UZ8xF9RW4E51rBF3muZb","Jome Ha","2020-03-30"
"7zTb9D6w6ON9YKyPKof4aQ","Man Delam Pore","2022-10-25"
"0ovbvxh9eWpym47WQfiSCt","Chak Kosh","2023-08-03"
"0lDk7SaNNpNnUnstfmrY4o","Money Talks","2024-01-25"
"3y41VjOscSS6EsIkqM8agi","Shakh Be Shakh (feat. Sadegh)","2016-02-17"
"5A8MlNzEcP8zRpOdtdZcmu","Amoo Reza","2019-01-29"
"3o6PzGsORT6sYo0dAKwROh","Menhaye Yek","2020-11-03"
"6keCTMPTdWYUheHL1vIeI1","Alo","2011-08-03"
"381a2GGesOfn85YtPLDFoK","Eyde Emsal","2016-07-03"
"4DVTk5fqobDdbtFh5wtzX7","Mesle Shir","2016-09-09"
"10q3mZQQxLirN4LBo4zUyg","Pishma Bia","2019-06-11"
"0icmSb8W6LidsijrnxKdGc","Jenayi","2015-12-20"
"7f6qy2CTvbythe91Ba9LRg","To Yeki Na","2022-05-28"
"65lh0CDiLzJgzAzAGocJ8N","Haazeri","2020-12-05"
"5EonQ7uCpBEKMuaCwtaXkE","Extasy","2022-07-12"
"5RRaon04oE8aSM3AXxk5u6","Kar Freestyle","2021-11-07"
"4zDa4OiQ3rYIrjOFVpvvzu","Hadaf Had Nadare (feat. Khashayar & Sarkesh)","2014-03-25"
"1lERYcfhFbPevyR1MeVoAB","Ayeneh (feat. Behzad Leito & Enteha)","2014-03-25"
"3dJsA3N1CEGrna2EhjErum","Sang (feat. Paya & Sarkesh)","2014-03-25"
"1oMsARsE81i4xYkNCn7YQr","In Khaak","2014-03-25"
"0GdjOnWtcgTexHoXkYrdCX","Khatteh Man (Remix) [feat. Mehrad Hidden, Reveal, Afra & Khashayar]","2014-03-25"
"6UhSb1JwkvsIIQY5nF0DUX","Paydar 1 (feat. Taham, Khashayar, Behzad Leito, Sarkesh & Afra)","2014-03-25"
"1SDLB33YCOY1NjGV50Hn7r","Inja Jaye Maas (feat. Enteha, Khashayar & Sarkesh)","2014-03-25"
"40qWsFowq6xm8ZWc487cp3","Donya Maleh Mast (feat. Sami Beigi)","2014-03-25"
"48hHvadk396ypd1VEsgJow","Emza (feat. Behzad Leito & Enteha)","2014-03-25"
"6jL4IIQ8RNTWDH52NOl4bX","Lahzeh","2014-03-25"
"6RNbfueKbCAs75d2fTCD8G","Nemitooni Band Koni Paamo Be Zamin (feat. Paya)","2014-03-25"
"2AJTBPc4CmOvvOZX7ZGgVE","Shosteshoo","2014-03-25"
